"Run 1: Time (s)","Run 1: Conductivity (µS/cm)","Run 1: Temperature (°C)"
167,1942.60253906,66.4305529467
168,1936.66992188,66.6470179712
169,1927.1484375,66.7742746979
170,1918.79882812,66.992614307
171,1911.62109375,67.255136326
172,1910.44921875,67.4734358751
173,1905.68847656,67.7827246095
174,1899.75585938,68.0505540384
175,1892.578125,68.544508879
176,1890.234375,68.9548675325
177,1885.47363281,69.3695888804
178,1878.29589844,69.645692225
179,1871.19140625,69.8318168287
180,1865.18554688,69.97272063
181,1860.42480469,70.2096752988
182,1848.55957031,70.4947900448
183,1838.96484375,70.779093926
184,1836.62109375,71.0210889317
185,1834.20410156,71.2140079807
186,1831.86035156,71.4587818686
187,1827.09960938,71.7021246232
188,1819.921875,72.2454760808
189,1813.98925781,72.5956302328
190,1809.22851562,72.7471388316
191,1803.29589844,72.8495195217
192,1797.29003906,73.0020548034
193,1786.59667969,73.2053570757
194,1781.8359375,73.4097661436
195,1772.31445312,73.6692365164
196,1766.30859375,73.9273216293
197,1762.79296875,74.2419768346
198,1761.54785156,74.50407012
199,1758.03222656,74.7157361907
200,1752.02636719,74.9844945882
201,1747.265625,75.3614041935
202,1746.09375,75.6315633497
203,1738.91601562,75.6885153977
204,1735.40039062,75.7959585146
205,1730.63964844,75.9610904904
206,1718.70117188,76.181292869
207,1713.94042969,76.348168111
208,1711.5234375,76.6291373398
209,1709.1796875,76.8533975648
210,1700.83007812,77.0790407115
211,1696.06933594,77.3060859268
212,1693.65234375,77.6510940164
213,1690.13671875,77.9423072981
214,1686.54785156,78.2322780349
215,1685.37597656,78.5245844719
216,1679.37011719,78.7645160754
217,1674.609375,79.0611691917
218,1668.67675781,79.3639870515
219,1663.91601562,79.605845233
220,1657.98339844,79.7892486899
221,1651.97753906,80.0339906745
222,1649.63378906,80.1550939389
223,1644.87304688,80.4061668364
224,1642.45605469,80.5898753523
225,1638.8671875,80.8440223003
226,1637.6953125,81.1584168195
227,1631.76269531,81.6056372847
228,1625.75683594,81.7995996219
229,1620.99609375,82.126570599
230,1615.06347656,82.3879064852
231,1610.30273438,82.5172733124
232,1605.54199219,82.785589907
233,1600.78125,82.9820114427
234,1596.02050781,83.1836538914
235,1594.84863281,83.3201035282
236,1590.08789062,83.5904160661
237,1587.67089844,83.7955645503
238,1586.49902344,84.2094701637
239,1584.08203125,84.4182576418
240,1580.49316406,84.6239900413
241,1578.14941406,84.8352551547
242,1576.97753906,85.0477958044
243,1574.56054688,85.3317340008
244,1572.21679688,85.6932372574
245,1572.21679688,85.982463673
246,1567.45605469,86.2740955296
247,1562.6953125,86.4955570805
248,1556.68945312,86.6454979834
249,1549.58496094,86.9427288774
250,1545.99609375,87.0899913113
251,1543.57910156,87.4702091513
252,1542.40722656,87.699404904
253,1543.57910156,87.8499006583
254,1543.57910156,88.0816135757
255,1541.23535156,88.2385378474
256,1535.22949219,88.3961722783
257,1529.296875,88.4728587357
258,1529.296875,88.6267403579
259,1528.125,88.7861467495
260,1525.70800781,89.0241971137
261,1523.36425781,89.1805430907
262,1519.77539062,89.3425150489
263,1517.43164062,89.584420962
264,1513.84277344,89.748292236
265,1513.84277344,89.9079401659
266,1510.25390625,89.9880404868
267,1507.83691406,90.234504988
268,1505.49316406,90.4014842444
269,1500.73242188,90.650917174
270,1498.31542969,90.9021595993
271,1495.97167969,91.0672260657
272,1492.3828125,91.2382795999
273,1486.45019531,91.5776976868
274,1485.20507812,91.6617603106
275,1481.68945312,92.0053831635
276,1481.68945312,92.1811548114
277,1480.44433594,92.2667005635
278,1481.68945312,92.3578257753
279,1479.27246094,92.6218349253
280,1478.10058594,92.795345844
281,1476.92871094,92.9751978261
282,1473.33984375,93.0627375833
283,1472.16796875,93.1505001622
284,1469.75097656,93.243993356
285,1468.57910156,93.3322192053
286,1466.16210938,93.4206714832
287,1462.57324219,93.6038245406
288,1460.22949219,93.8775882236
289,1455.46875,94.1535457171
290,1453.05175781,94.4260335053
291,1450.70800781,94.5230593302
292,1447.11914062,94.6146283775
293,1443.53027344,94.8042628441
294,1441.18652344,94.8965845487
295,1438.76953125,95.2742114101
296,1436.42578125,95.5616517479
297,1432.83691406,95.6560329275
298,1432.83691406,95.8515167857
299,1430.41992188,95.9466987585
300,1429.24804688,96.3361111415
301,1429.24804688,96.535516002
302,1425.65917969,96.7360859318
303,1425.65917969,96.7360859318
304,1423.31542969,96.8337554803
305,1422.14355469,96.9317037851
306,1422.14355469,97.134609478
307,1422.14355469,97.0299324666
308,1420.8984375,96.9317037851
309,1419.7265625,97.0299324666
310,1419.7265625,97.134609478
311,1419.7265625,97.134609478
312,1418.5546875,97.134609478
313,1418.5546875,97.2334216121
314,1418.5546875,97.2334216121
315,1418.5546875,97.4381249442
316,1418.5546875,97.4381249442
317,1417.30957031,97.4381249442
318,1418.5546875,97.5378165043
319,1416.13769531,97.5378165043
320,1416.13769531,97.5378165043
321,1417.30957031,97.5378165043
322,1417.30957031,97.5378165043
323,1416.13769531,97.4381249442
324,1416.13769531,97.5378165043
325,1416.13769531,97.5378165043
326,1414.96582031,97.4381249442
327,1416.13769531,97.4381249442
328,1414.96582031,97.4381249442
329,1416.13769531,97.4381249442
330,1414.96582031,97.4381249442
331,1416.13769531,97.4381249442
332,1416.13769531,97.2334216121
333,1416.13769531,97.2334216121
334,1417.30957031,97.134609478
335,1417.30957031,97.134609478
336,1416.13769531,97.134609478
337,1416.13769531,96.9317037851
338,1418.5546875,96.9317037851
339,1418.5546875,96.8337554803
340,1417.30957031,96.7360859318
341,1417.30957031,96.7360859318
342,1418.5546875,96.6326156741
343,1418.5546875,96.535516002
344,1419.7265625,96.4386902085
345,1418.5546875,96.4386902085
346,1419.7265625,96.3361111415
347,1419.7265625,96.3361111415
348,1422.14355469,96.2398452923
349,1420.8984375,96.2398452923
350,1420.8984375,96.1438485675
351,1423.31542969,96.0421452207
352,1423.31542969,95.9466987585
353,1423.31542969,95.9466987585
354,1423.31542969,95.8515167857
355,1423.31542969,95.7565978142
356,1423.31542969,95.5616517479
357,1423.31542969,95.5616517479
358,1425.65917969,95.467529087
359,1424.48730469,95.3678054096
360,1425.65917969,95.2742114101
361,1425.65917969,95.1808715573
362,1426.90429688,95.0877844469
363,1425.65917969,94.9891547648
364,1425.65917969,94.9891547648
365,1426.90429688,94.9891547648
366,1428.07617188,94.8965845487
367,1429.24804688,94.8965845487
368,1428.07617188,94.8965845487
369,1429.24804688,94.8965845487
370,1429.24804688,94.9891547648
371,1429.24804688,94.9891547648
372,1429.24804688,94.8965845487
373,1430.41992188,94.8965845487
374,1430.41992188,94.8965845487
375,1431.66503906,94.8965845487
376,1431.66503906,94.8965845487
377,1432.83691406,94.7064418077
378,1434.00878906,94.6146283775
379,1434.00878906,94.5230593302
380,1432.83691406,94.4260335053
381,1435.18066406,94.3349643205
382,1434.00878906,94.3349643205
383,1436.42578125,94.2441354893
384,1435.18066406,94.0575545851
385,1437.59765625,93.9674538261
386,1438.76953125,93.8775882236
387,1437.59765625,93.6929777372
388,1437.59765625,93.6038245406
389,1438.76953125,93.4206714832
390,1438.76953125,93.4206714832
391,1441.18652344,93.3322192053
392,1442.35839844,93.1505001622
393,1441.18652344,93.0627375833
394,1443.53027344,93.1505001622
395,1443.53027344,93.1505001622
396,1443.53027344,93.1505001622
397,1443.53027344,93.243993356
398,1444.77539062,93.1505001622
399,1444.77539062,93.1505001622
400,1447.11914062,93.0627375833
401,1448.29101562,93.0627375833
402,1448.29101562,93.0627375833
403,1448.29101562,92.9751978261
404,1448.29101562,92.9751978261
405,1449.53613281,92.9751978261
406,1448.29101562,92.795345844
407,1449.53613281,92.7084813022
408,1448.29101562,92.6218349253
409,1450.70800781,92.6218349253
410,1449.53613281,92.530010936
411,1451.87988281,92.443810982
412,1453.05175781,92.443810982
413,1453.05175781,92.3578257753
414,1453.05175781,92.2667005635
415,1453.05175781,92.1811548114
416,1454.296875,92.1811548114
417,1455.46875,92.1811548114
418,1455.46875,92.0053831635
419,1456.640625,91.9204814623
420,1456.640625,91.7513014364
421,1456.640625,91.6617603106
422,1456.640625,91.4938389863
423,1456.640625,91.4938389863
424,1459.05761719,91.3215200957
425,1459.05761719,91.2382795999
426,1460.22949219,91.2382795999
427,1459.05761719,91.2382795999
428,1460.22949219,91.2382795999
429,1461.40136719,91.2382795999
430,1462.57324219,91.2382795999
431,1462.57324219,91.1552389314
432,1463.81835938,91.1552389314
433,1463.81835938,91.0672260657
434,1464.99023438,91.0672260657
435,1464.99023438,91.0672260657
436,1464.99023438,90.9845944233
437,1467.33398438,90.9021595993
438,1468.57910156,90.9021595993
439,1468.57910156,90.8147871707
440,1469.75097656,90.7327552348
441,1469.75097656,90.5641756045
442,1469.75097656,90.5641756045
443,1472.16796875,90.5641756045
444,1470.92285156,90.4827344268
445,1472.16796875,90.3204241302
446,1475.68359375,90.234504988
447,1475.68359375,90.1538339903
448,1475.68359375,89.9880404868
449,1475.68359375,89.9079401659
450,1478.10058594,89.748292236
451,1476.92871094,89.6637770833
452,1479.27246094,89.5052458279
453,1479.27246094,89.5052458279
454,1480.44433594,89.5052458279
455,1481.68945312,89.5052458279
456,1482.86132812,89.5052458279
457,1481.68945312,89.584420962
458,1484.03320312,89.5052458279
459,1485.20507812,89.5052458279
460,1485.20507812,89.4213195975
461,1485.20507812,89.4213195975
462,1486.45019531,89.3425150489
463,1486.45019531,89.3425150489
464,1486.45019531,89.2638888808
465,1487.62207031,89.1022821881
466,1491.2109375,89.0241971137
467,1493.5546875,88.8636984397
468,1493.5546875,88.7861467495
469,1494.79980469,88.7087675826
470,1494.79980469,88.6267403579
471,1494.79980469,88.6267403579
472,1495.97167969,88.6267403579
473,1495.97167969,88.5497145011
474,1495.97167969,88.3961722783
475,1497.14355469,88.3961722783
476,1499.56054688,88.3148775585
477,1498.31542969,88.3148775585
478,1499.56054688,88.3148775585
479,1500.73242188,88.2385378474
480,1499.56054688,88.3148775585
481,1499.56054688,88.2385378474
482,1500.73242188,88.1623650778
483,1503.07617188,88.0816135757
484,1503.07617188,88.0057827207
485,1503.07617188,87.9301164883
486,1505.49316406,87.774571606
487,1506.66503906,87.699404904
488,1506.66503906,87.6243998199
489,1505.49316406,87.4702091513
490,1507.83691406,87.4702091513
491,1509.08203125,87.395694518
492,1509.08203125,87.395694518
493,1510.25390625,87.2425084774
494,1509.08203125,87.0162825393
495,1510.25390625,86.8693296404
496,1510.25390625,86.9427288774
497,1511.42578125,86.9427288774
498,1511.42578125,86.8693296404
499,1513.84277344,86.8693296404
500,1513.84277344,86.7184285117
501,1515.01464844,86.6454979834
502,1515.01464844,86.5681754843
503,1517.43164062,86.4955570805
504,1517.43164062,86.4230889984
505,1518.60351562,86.3507705831
506,1518.60351562,86.2740955296
507,1518.60351562,86.2020837517
508,1519.77539062,86.2020837517
509,1520.94726562,86.0540251711
510,1520.94726562,86.0540251711
511,1523.36425781,85.982463673
512,1523.36425781,85.982463673
513,1524.53613281,85.982463673
514,1524.53613281,85.8353276743
515,1525.70800781,85.7642105462
516,1525.70800781,85.6932372574
517,1524.53613281,85.7642105462
518,1524.53613281,85.6932372574
519,1526.953125,85.6932372574
520,1526.953125,85.6932372574
521,1528.125,85.5473065002
522,1528.125,85.4767699141
523,1529.296875,85.4063746949
524,1530.46875,85.4063746949
525,1532.88574219,85.4063746949
526,1532.88574219,85.4063746949
527,1532.88574219,85.3317340008
528,1532.88574219,85.3317340008
529,1534.05761719,85.2616284632
530,1532.88574219,85.1218354315
531,1534.05761719,85.1218354315
532,1534.05761719,85.0477958044
533,1536.47460938,84.8352551547
534,1537.64648438,84.6971426162
535,1537.64648438,84.6971426162
536,1537.64648438,84.6239900413
537,1537.64648438,84.5552790411
538,1537.64648438,84.5552790411
539,1538.81835938,84.5552790411
540,1540.06347656,84.4182576418
541,1542.40722656,84.3456810624
542,1542.40722656,84.2775098667
543,1542.40722656,84.2094701637
544,1544.82421875,84.1373214528
545,1544.82421875,84.0695512531
546,1545.99609375,84.0019109038
547,1547.16796875,83.9343998752
548,1548.33984375,83.9343998752
549,1549.58496094,83.7955645503
550,1550.75683594,83.6572725268
551,1549.58496094,83.5904160661
552,1551.92871094,83.452922432
553,1551.92871094,83.452922432
554,1551.92871094,83.3864506821
555,1553.10058594,83.1836538914
556,1553.10058594,83.1836538914
557,1553.10058594,83.1176852202
558,1553.10058594,83.1176852202
559,1553.10058594,83.1176852202
560,1554.34570312,83.1176852202
561,1556.68945312,83.1176852202
562,1557.86132812,83.1176852202
563,1557.86132812,83.1176852202
564,1559.10644531,83.0518391352
565,1557.86132812,82.9164166552
566,1559.10644531,82.9164166552
567,1559.10644531,82.9164166552
568,1561.45019531,82.9164166552
569,1560.27832031,82.9164166552
570,1561.45019531,82.8509429696
571,1562.6953125,82.8509429696
572,1562.6953125,82.8509429696
573,1565.0390625,82.785589907
574,1565.0390625,82.7162839121
575,1566.2109375,82.6511781331
576,1567.45605469,82.5861915269
577,1567.45605469,82.5172733124
578,1569.79980469,82.5172733124
579,1568.62792969,82.3879064852
580,1568.62792969,82.3193714139
581,1572.21679688,82.1907214915
582,1570.97167969,82.1907214915
583,1573.38867188,82.126570599
584,1572.21679688,82.126570599
585,1574.56054688,82.126570599
586,1574.56054688,82.126570599
587,1575.73242188,82.0585367596
588,1575.73242188,81.9308247338
589,1575.73242188,81.8631635546
590,1576.97753906,81.7995996219
591,1578.14941406,81.7361488698
592,1580.49316406,81.7361488698
593,1579.32128906,81.6056372847
594,1580.49316406,81.5425304551
595,1581.73828125,81.4795350557
596,1581.73828125,81.4127240631
597,1582.91015625,81.3499571495
598,1581.73828125,81.2873003725
599,1584.08203125,81.2873003725
600,1584.08203125,81.2208477566
